name,displayName
Água Branca,Água Branca
Alto do Ipiranga,Alto do Ipiranga
Amador Bueno,Amador Bueno
Ambuitá,Ambuitá
Ana Rosa,Ana Rosa
Anhangabaú,Anhangabaú
Antônio Gianetti Neto,Antônio Gianetti Neto
Antônio João,Antônio João
Aracaré,Aracaré
Armênia,Armênia
Artur Alvim,Artur Alvim
Autódromo,Autódromo
Baltazar Fidélis,Baltazar Fidélis
Barueri,Barueri
Belém,Belém
Berrini,Berrini
Botujuru,Botujuru
Brás,Brás
Brás Cubas,Brás Cubas
Bresser-Moóca,Bresser-Moóca
Brigadeiro,Brigadeiro
Butantã,Butantã
Caieiras,Caieiras
Calmon Viana,Calmon Viana
Campo Limpo,Campo Limpo
Campo Limpo Paulista,Campo Limpo Paulista
Capão Redondo,Capão Redondo
Capuava,Capuava
Carandiru,Carandiru
Carapicuíba,Carapicuíba
Carrão,Carrão
Ceasa,Ceasa
Chácara Klabin,Chácara Klabin
Cidade Jardim,Cidade Jardim
Cidade Universitária,Cidade Universitária
Cimenrita,Cimenrita
Clínicas,Clínicas
Comandante Sampaio,Comandante Sampaio
Comendador Ermelino,Comendador Ermelino
Conceição,Conceição
Congonhas,Congonhas - São Paulo Airport
Consolação,Consolação
Corinthians - Itaquera,Corinthians - Itaquera
Diadema,Diadema
Dom Bosco,Dom Bosco
Domingos de Moraes,Domingos de Moraes
Engenheiro Cardoso,Engenheiro Cardoso
Engenheiro Goulart,Engenheiro Goulart
Engenheiro Manoel Feio,Engenheiro Manoel Feio
Estudantes,Estudantes
Faria Lima,Faria Lima
Ferraz de Vasconcelos,Ferraz de Vasconcelos
Ferrazópolis,Ferrazópolis
Fradique Coutinho,Fradique Coutinho
Francisco Morato,Francisco Morato
Franco da Rocha,Franco da Rocha
General Miguel Costa,General Miguel Costa
Giovanni Gronchi,Giovanni Gronchi
Grajaú,Grajaú
Granja Julieta,Granja Julieta
Guaianases,Guaianases
Guapituba,Guapituba
Guarulhos,Guarulhos - São Paulo International Airport 
Guilhermina-Esperança,Guilhermina-Esperança
Hebraica-Rebouças,Hebraica-Rebouças
Higienopólis - Mackenzie,Higienopólis - Mackenzie
Imperatriz Leopoldina,Imperatriz Leopoldina
Ipiranga,Ipiranga
Itaim Paulista,Itaim Paulista
Itapevi,Itapevi
Itaquaquecetuba,Itaquaquecetuba
Jabaquara,Jabaquara
Jardim Belval,Jadrim Belval
Jandira,Jandira
Jaraguá,Jaraguá
Jardim Helena-Vila Mara,Jardim Helena-Vila Mara
Jardim Romano,Jardim Romano
Jardim São Paulo,Jardim São Paulo
Jardim Silveira,Jardim Silveira
José Bonifácio,José Bonifácio
Júlio Prestes,Júlio Prestes
Jundiaí,Jundiaí
Jundiapeba,Jundiapeba
Jurubatuba,Jurubatuba
Lapa,Lapa
Largo Treze,Largo Treze
Liberdade,Liberdade
Luz,Luz
Marechal Deodoro,Marechal Deodoro
Mauá,Mauá
Mogi das Cruzes,Mogi das Cruzes
Mooca,Mooca
Morumbi,Morumbi
Osasco,Osasco
Oscar Freire,Oscar Freire
Palmeiras-Barra Funda ,Palmeiras-Barra Funda 
Parada Inglesa,Parada Inglesa
Paraíso,Paraíso
Paranapiacaba,Paranapiacaba
Patriarca,Patriarca
Paulista,Paulista
Pedro II,Pedro II
Penha,Penha
Perus,Perus
Pinheiros,Pinheiros
Piqueri,Piqueri
Piraporinha,Piraporinha
Pirituba,Pirituba
Poá,Poá
Portuguesa-Tietê,Portuguesa-Tietê
Praça da Árvore,Praça da Árvore
Prefeito Saladino,Prefeito Saladino
Presidente Altino,Presidente Altino
Primavera-Interlagos,Primavera-Interlagos
Quitaúna,Quitaúna
República,República
Ribeirão Pires,Ribeirão Pires
Rio Grande da Serra,Rio Grande da Serra
Sacomã,Sacomã
Sagrado Coração,Sagrado Coração
Santa Cecília,Santa Cecília
Santa Cruz,Santa Cruz
Santa Rita,Santa Rita
Santa Terezinha,Santa Terezinha
Santana,Santana
Santo Amaro,Santo Amaro
Santo André,Santo André
Santos - Imigrantes,Santos - Imigrantes
São Bento,São Bento
São Bernardo,São Bernardo
São Caetano,São Caetano
São Joaquim,São Joaquim
São Judas,São Judas
São Mateus,São Mateus
São Miguel Paulista,São Miguel Paulista
São Paulo - Morumbi,São Paulo - Morumbi
Saúde,Saúde
Sé,Sé
Socorro,Socorro
Sônia Maria,Sônia Maria
Sumaré,Santuário Nossa Senhora de Fátima-Sumaré
Suzano,Suzano
Tamanduateí,Tamanduateí
Tatuapé,Tatuapé
Tiradentes,Tiradentes
Trianon-Masp,Trianon-Masp
Tucuruvi,Tucuruvi
USP Leste,USP Leste
Utinga,Utinga
Várzea Paulista,Várzea Paulista
Vergueiro,Vergueiro
Vila Aurora ,Vila Aurora 
Vila Clarice,Vila Clarice
Vila das Belezas,Vila das Belezas
Vila Lobos-Jaguaré,Vila Lobos-Jaguaré
Vila Madalena,Vila Madalena
Vila Mariana,Vila Mariana
Vila Matilde,Vila Matilde
Vila Olímpia,Vila Olímpia
Vila Prudente,Vila Prudente
Vila Sônia,Vila Sônia
Zoológico,Zoológico
